ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	81.87276350402645	81.87276350402645	81.87276350402645	81.87276350402645
1	-250.64172305457205	-251.0255372768877	-84.38447977527267	82.25657772634106
2	-261.1921485663519	-315.53284874195634	-143.3203693722997	82.54390477462198
3	-266.06595955429526	-337.9215861459398	-174.00676691779657	82.98072553662357
4	-270.69134319642075	-346.31472175235507	-193.34368217352284	83.20261290852906
5	-270.01874401757533	-351.54722199427306	-206.12285914753122	83.40729685917375
6	-262.91279420237254	-344.25912908739656	-191.35045451554842	83.73526698616209
7	-255.8669694023445	-334.9060621870547	-176.6184279013722	84.05617592545993
8	-247.28109359686567	-325.4390622729986	-162.0142664696751	84.2616779312283
9	-238.5150005905293	-313.21345082563016	-147.52692285593014	84.47214611389612
10	-230.0249571171021	-302.7437313747827	-133.6621739045092	84.63756749849364
