Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:44:09	13:44:09	13:44:09			13:44:09	13:44:09	13:44:10	13:44:10	13:44:10	13:44:11	13:44:11	13:55:45	13:55:45	13:55:53	13:55:53	13:55:53	13:55:53			13:55:55	13:55:55		00:00:00		00:00:01	00:00:01	00:00:00	00:11:34	00:00:08	00:00:00		00:00:01	00:11:45
1	13:55:55	13:55:55	13:55:55	13:55:55	13:55:56	13:55:56	13:55:56	13:55:58	13:55:58	13:55:58	13:55:58	13:55:58	14:08:07	14:08:07	14:08:15	14:08:15	14:08:15	14:08:15			14:08:17	14:08:17		00:00:00	00:00:01	00:00:01	00:00:01	00:00:00	00:12:09	00:00:07	00:00:00		00:00:02	00:12:22
2	14:08:18	14:08:18	14:08:18	14:08:18	14:08:19	14:08:19			14:08:19	14:08:19	14:08:19	14:08:19	14:18:30	14:18:30	14:18:47	14:18:47	14:18:47	14:18:47			14:18:49	14:18:49		00:00:00	00:00:00		00:00:00	00:00:00	00:10:11	00:00:17	00:00:00		00:00:01	00:10:31
3	14:18:49	14:18:49	14:18:49	14:18:49	14:18:51	14:18:51			14:18:51	14:18:51	14:18:51	14:18:51	14:31:40	14:31:40	14:31:55	14:31:55	14:31:57	14:31:57			14:32:03	14:32:03		00:00:00	00:00:01		00:00:00	00:00:00	00:12:49	00:00:15	00:00:02		00:00:06	00:13:14
4	14:32:04	14:32:04	14:32:04	14:32:04	14:32:05	14:32:05			14:32:05	14:32:05	14:32:05	14:32:05	14:46:42	14:46:42	14:47:19	14:47:19	14:47:19	14:47:19			14:47:29	14:47:29		00:00:00	00:00:01		00:00:00	00:00:00	00:14:36	00:00:37	00:00:00		00:00:09	00:15:25
5	14:47:29	14:47:29	14:47:30	14:47:30	14:47:31	14:47:31			14:47:31	14:47:31	14:47:31	14:47:31	14:58:04	14:58:04	14:58:25	14:58:25	14:58:26	14:58:26			14:58:30	14:58:30		00:00:00	00:00:01		00:00:00	00:00:00	00:10:32	00:00:20	00:00:01		00:00:04	00:11:00
6	14:58:30	14:58:30	14:58:30	14:58:30	14:58:33	14:58:33			14:58:33	14:58:33	14:58:33	14:58:33	15:10:21	15:10:21	15:10:43	15:10:43	15:10:43	15:10:43			15:10:59	15:10:59		00:00:00	00:00:02		00:00:00	00:00:00	00:11:47	00:00:22	00:00:00		00:00:15	00:12:28
7	15:10:59	15:10:59	15:11:00	15:11:00	15:11:02	15:11:02			15:11:02	15:11:02	15:11:02	15:11:02	15:23:14	15:23:14	15:23:26	15:23:26	15:23:26	15:23:26			15:23:29	15:23:29		00:00:00	00:00:02		00:00:00	00:00:00	00:12:11	00:00:11	00:00:00		00:00:02	00:12:29
8	15:23:29	15:23:29	15:23:29	15:23:29	15:23:30	15:23:30			15:23:30	15:23:30	15:23:30	15:23:30	15:37:51	15:37:51	15:38:01	15:38:01	15:38:06	15:38:06			15:38:15	15:38:15		00:00:00	00:00:01		00:00:00	00:00:00	00:14:20	00:00:09	00:00:05		00:00:08	00:14:46
9	15:38:15	15:38:15	15:38:15	15:38:15	15:38:17	15:38:17			15:38:17	15:38:17	15:38:17	15:38:17	15:55:51	15:55:51	15:56:46	15:56:46	15:56:55	15:56:55			15:57:10	15:57:10		00:00:00	00:00:01		00:00:00	00:00:00	00:17:34	00:00:54	00:00:09		00:00:14	00:18:54
10	15:57:11	15:57:11	15:57:11	15:57:11	15:57:14	15:57:14	15:57:15	15:57:26	15:57:26	15:57:26	15:57:32	15:57:32	16:06:54	16:06:54	16:07:00	16:07:00	16:07:01	16:07:01	16:07:01	16:07:03	16:07:06	16:07:06		00:00:00	00:00:03	00:00:11	00:00:11	00:00:06	00:09:21	00:00:06	00:00:00	00:00:02	00:00:05	00:09:55
