iter		PassWaitTime_avg	PassWaitTime_sd	PassWaitTime_95%ile	PassWaitTime_max		EmptyDriveRatio_fleetAvg	EmptyDriveRatio_avg	EmptyDriveRatio_sd		StayRatio_fleetAvg	StayRatio_avg	StayRatio_sd		OccupDriveRatio_fleetAvg
0		71.6	88.4	250	1636		0.0807	0.0962	0.1184		0.9981	0.9981	0.0053		0.0015
1		70.9	84.1	239	1636		0.0898	0.1512	0.2401		0.9979	0.9979	0.0058		0.0016
2		84.1	94.9	268	1131		0.1032	0.1613	0.2379		0.9979	0.9979	0.0061		0.0016
3		95.9	107.1	301	1636		0.1147	0.1718	0.2394		0.9979	0.9979	0.0063		0.0016
4		104.3	115.3	328	1192		0.1232	0.1780	0.2402		0.9978	0.9978	0.0066		0.0016
5		114.6	128.5	370	1595		0.1336	0.1863	0.2421		0.9978	0.9978	0.0068		0.0016
6		123.7	140.4	404	1450		0.1425	0.1938	0.2445		0.9978	0.9978	0.0070		0.0016
7		130.2	147.2	420	1636		0.1487	0.1997	0.2467		0.9977	0.9977	0.0072		0.0016
8		134.3	151.9	436	1595		0.1537	0.2042	0.2503		0.9977	0.9977	0.0075		0.0016
9		142.1	161.1	479	1192		0.1617	0.2104	0.2526		0.9977	0.9977	0.0077		0.0016
10		147.7	167.6	489	1605		0.1673	0.2132	0.2512		0.9976	0.9976	0.0080		0.0016
